PyQRCode create 1-M,8.01
PyQRCodeNG create 1-M,6.18
qrcodegen create 1-M,5.28
qrcode create 1-M,3.73
Segno create 1-M,2.06
PyQRCode create 7-Q,37.03
PyQRCodeNG create 7-Q,29.27
qrcode create 7-Q,17.02
Segno create 7-Q,10.36
PyQRCode create 30-H,362.22
PyQRCodeNG create 30-H,286.79
qrcode create 30-H,166.20
Segno create 30-H,107.32
PyQRCode SVG,8.62
PyQRCodeNG SVG,8.63
qrcodegen SVG,5.75
qrcode SVG path,4.77
qrcode SVG rects,5.85
Segno SVG,2.37
PyQRCode PNG 1-M,16.08
PyQRCodeNG PNG 1-M,14.67
qrcode PNG 1-M,4.79
Segno PNG 1-M,3.64
